lat:49.6497100 lon:19.8327700
lat:49.6463100 lon:19.8283000
lat:49.6487200 lon:19.8568000
lat:49.6517600 lon:19.8391500
lat:49.6532800 lon:19.8333100
lat:49.6513300 lon:19.8604400
lat:49.6497100 lon:19.8454100
lat:49.6531400 lon:19.8363700
lat:49.6497000 lon:19.8272800
lat:49.6488700 lon:19.8280000
lat:49.6504600 lon:19.8306000
lat:49.6507500 lon:19.8330100
lat:49.6496200 lon:19.8320000
lat:49.6461300 lon:19.8287500
lat:49.6492700 lon:19.8454800
lat:49.6508400 lon:19.8355900
lat:49.6400400 lon:19.8411500
lat:49.6506100 lon:19.8377400
lat:49.6486500 lon:19.8283600
lat:49.6539700 lon:19.8353400
lat:49.6359600 lon:19.8285500
lat:49.6528900 lon:19.8203300
lat:49.6484700 lon:19.8246300
lat:49.6534600 lon:19.8259100
lat:49.6549700 lon:19.8354900
lat:49.6501500 lon:19.8341300
lat:49.6489100 lon:19.8595500
lat:49.6529900 lon:19.8418000
lat:49.6485300 lon:19.8597300
lat:49.6484000 lon:19.8244800
lat:49.6483400 lon:19.8248800
lat:49.6532200 lon:19.8335100
lat:49.6500500 lon:19.8363500
lat:49.6453000 lon:19.8281400
lat:49.6497900 lon:19.8599800
lat:49.6373200 lon:19.8278800
lat:49.6483600 lon:19.8243900
lat:49.6552100 lon:19.8355900
lat:49.6502000 lon:19.8342800
lat:49.6364300 lon:19.8293800
lat:49.6494800 lon:19.8602900
lat:49.6515400 lon:19.8383400
lat:49.6533400 lon:19.8233400
lat:49.6502700 lon:19.8345200
lat:49.6491700 lon:19.8609500
lat:49.6460900 lon:19.8162300
lat:49.6481700 lon:19.8232000
lat:49.6478200 lon:19.8246700
lat:49.6514800 lon:19.8144900
lat:49.6488900 lon:19.8278800
lat:49.6496600 lon:19.8321000
lat:49.6494600 lon:19.8462400
lat:49.6457700 lon:19.8275700
lat:49.6507400 lon:19.8314800
lat:49.6516400 lon:19.8330900
lat:49.6490000 lon:19.8455000
lat:49.6506300 lon:19.8355000
lat:49.6396500 lon:19.8419700
lat:49.6505400 lon:19.8371900
lat:49.6482000 lon:19.8162300
lat:49.6537300 lon:19.8359900
lat:49.6369900 lon:19.8277400
lat:49.6447700 lon:19.8112400
lat:49.6503100 lon:19.8346300
lat:49.6493042 lon:19.8614506
lat:49.6500200 lon:19.8616600
lat:49.6489400 lon:19.8623300
lat:49.6481600 lon:19.8242900
lat:49.6548700 lon:19.8346300
lat:49.6497000 lon:19.8371400
lat:49.6500100 lon:19.8630200
lat:49.6489600 lon:19.8626100
lat:49.6467500 lon:19.8203100
lat:49.6501800 lon:19.8633400
lat:49.6500100 lon:19.8627000
lat:49.6500100 lon:19.8625800
lat:49.6531800 lon:19.8181800
lat:49.6481300 lon:19.8242100
lat:49.6549000 lon:19.8347700
lat:49.6496300 lon:19.8375300
lat:49.6444000 lon:19.8278500
lat:49.6499600 lon:19.8637100
lat:49.6480900 lon:19.8241000
lat:49.6442300 lon:19.8278800
lat:49.6543900 lon:19.8173500
lat:49.6481600 lon:19.8211900
lat:49.6502800 lon:19.8349800
lat:49.6503300 lon:19.8639000
lat:49.6551400 lon:19.8349700
lat:49.6449500 lon:19.8334700
lat:49.6500300 lon:19.8641100
lat:49.6530800 lon:19.8218400
lat:49.6494300 lon:19.8385500
lat:49.6411600 lon:19.8291000
lat:49.6490300 lon:19.8547000
lat:49.6457900 lon:19.8695400
lat:49.6528200 lon:19.8219900
lat:49.6474600 lon:19.8203700
lat:49.6526100 lon:19.8225300
lat:49.6502200 lon:19.8351000
